주제 기준 차이,의문문,명령문,평서문,청유문,정중한 요청,의문문(간접),감탄문,확인 요청,간단 요청,미완결,주제,요약,평균
허준이 교수의 신라면 사랑 ,0,0,0,0,0,0,0,-1,0,0,0,0,-0.08
휘문고 총기난사 사건 ,0,0,0,0,0,0,-4,-4,0,0,0,0,-0.67
기아 K5 액션빔 튜닝 ,-1,-1,0,0,0,0,0,0,0,0,0,0,-0.17
서울대학교 기숙사 증축사업 ,0,0,0,0,0,0,1,-1,1,1,0,0,0.17
2025년 총선 ,0,0,1,3,0,1,1,1,1,1,0,-1,0.67
수아당 서울대입구점 ,0,0,0,0,0,0,0,0,0,0,0,0,0
스리랑카뿔버섯 ,0,0,0,0,0,0,0,0,0,0,0,0,0
롯데리아 게살버거 ,-1,0,-1,0,-1,-1,0,-1,0,0,0,0,-0.42
요루시카 내한공연 후기 ,0,0,0,0,0,-2,-2,0,0,0,0,-2,-0.5
고종커피 신메뉴,-2,-2,-2,-2,-2,-2,-3,-1,-1,-2,0,0,-1.58
평균,-0.4,-0.3,-0.2,0.1,-0.3,-0.4,-0.7,-0.7,0.1,0,0,-0.3,-0.26
